Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,✅,❎
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,✅,❎
Snail Cafe,https://www.google.com/maps/place/Snailcafe+Restaurant+%26+Bakery/data=!4m7!3m6!1s0x103b90a45cfe9dd5:0x27d8ad44dd852364!8m2!3d6.6386632!4d3.2653843!16s%2Fg%2F11fyzfhymp!19sChIJ1Z3-XKSQOxARZCOF3USt2Cc?authuser=0&hl=en&rclk=1,9AM,9PM,❎,✅
Chicken Republic - Ikeja Mall,https://www.google.com/maps/place/Chicken+Republic+-+Ikeja+Mall/data=!4m7!3m6!1s0x103b91f3fd65a083:0x5c0efd8dbc34dda3!8m2!3d6.6146934!4d3.3582947!16s%2Fg%2F119vw_rbk!19sChIJg6Bl_fOROxARo900vI39Dlw?authuser=0&hl=en&rclk=1,9AM,9PM,❎,❎
